"","participant","nLL","kernel","acq","R2","kError","lambda","beta","tau","alpha","d","k","omega","ModelName","meanScore"
"140",29,400.245550387451,"kNN","GM",0.572272392087519,NA,NA,NA,0.0822813463154035,NA,NA,3,0.199138338965269,"kNN-GM",75.7298796075978
"141",30,333.923709440928,"kNN","GM",0.643148089151352,NA,NA,NA,0.0821169828136641,NA,NA,2,0.275409952216915,"kNN-GM",71.4744988967614
"142",30,416.70953807594,"Sticky","GM",0.554677937723489,NA,NA,NA,3.19445271052036,NA,NA,NA,15.9417009852687,"Sticky-GM",71.4744988967614
"143",30,352.547657215852,"DF","UCB",0.62324536537605,NA,NA,0.159073626392007,0.0487024859752981,0.463367163395838,NA,NA,0.160521474622874,"DF-UCB",71.4744988967614
"144",30,332.084908609287,"dNN","GM",0.645113147552086,NA,NA,NA,0.0840473043630591,NA,1,NA,0.282073558247242,"dNN-GM",71.4744988967614
"145",30,328.991752247381,"BMT","UCB",0.648418689288395,7.50235172803855,NA,0.0264173032746038,0.00683741595957461,NA,NA,NA,0.00681281506952669,"BMT-UCB",71.4744988967614
"146",31,316.478039777959,"kNN","GM",0.661791630712651,NA,NA,NA,0.114069205158883,NA,NA,0,0.273282625117987,"kNN-GM",84.1841738346748
"147",31,316.419432559351,"dNN","GM",0.661854262078314,NA,NA,NA,0.114263940724438,NA,0,NA,0.271454361167878,"dNN-GM",84.1841738346748
"148",31,284.631343394138,"BMT","UCB",0.695825016595343,5.25363335855102,NA,0.23306694778227,0.0113466493925978,NA,NA,NA,0.0222692161880091,"BMT-UCB",84.1841738346748
"149",31,275.51905105236,"DF","UCB",0.705562986204686,NA,NA,0.458197374292099,0.0334425144766162,0.259961547172288,NA,NA,0.173230151175791,"DF-UCB",84.1841738346748
"150",31,410.553358554736,"Sticky","GM",0.56125681895761,NA,NA,NA,0.555852020369952,NA,NA,NA,2.80067083779797,"Sticky-GM",84.1841738346748
"151",32,380.917767953912,"Sticky","GM",0.592927277915851,NA,NA,NA,0.572250259091106,NA,NA,NA,2.92564963320285,"Sticky-GM",74.9375096465618
"152",32,274.284189312353,"BMT","UCB",0.706882637248014,7.56338676841137,NA,0.0105888647153637,0.0093517871394432,NA,NA,NA,0.0130691870412298,"BMT-UCB",74.9375096465618
"153",32,255.159220687637,"DF","UCB",0.727320783464336,NA,NA,0.223165011135244,0.04339510681803,1.54601315147248,NA,NA,0.148367195256512,"DF-UCB",74.9375096465618
"154",32,260.890338621285,"kNN","GM",0.721196149818689,NA,NA,NA,0.0530091320990536,NA,NA,3,0.153828030574016,"kNN-GM",74.9375096465618
"155",32,277.634117878005,"dNN","GM",0.703302692559867,NA,NA,NA,0.0586395341192818,NA,2,NA,0.168786417705352,"dNN-GM",74.9375096465618
