"","participant","loo","nLL","tau","beta","lambda","errorVariance","alpha","d","k","gamma","omega","R2","acq","kernel","meanScore"
"3653",87,9,18.1126284340543,0.0087780469965096,0.00685113439728229,NA,7.47648928738754,NA,NA,NA,NA,0.0067605792634785,0.978224167317271,"UCB","BMT",75.892320760306
"3654",87,3,39.2833543251777,0.0103421143772181,NA,NA,NA,NA,NA,NA,NA,0.0494790079049071,0.952771749604652,"GM","Sticky",75.892320760306
"3655",87,4,48.8295358292226,0.00878342658993423,NA,NA,NA,NA,NA,NA,NA,0.0424133335836177,0.941294892341892,"GM","Sticky",75.892320760306
"3656",87,5,39.2833543823995,0.0814739821233099,NA,NA,NA,NA,NA,NA,NA,0.389789905634356,0.952771749535857,"GM","Sticky",75.892320760306
"3657",87,6,115.760671909726,0.0854310870025494,NA,NA,NA,NA,NA,NA,NA,0.438924190764599,0.86082721058822,"GM","Sticky",75.892320760306
"3658",87,7,39.2833543397005,21.179249985249,NA,NA,NA,NA,NA,NA,NA,101.326308915778,0.952771749587192,"GM","Sticky",75.892320760306
"3659",87,8,83.7733623343879,0.29798034877707,NA,NA,NA,NA,NA,NA,NA,1.48705084014403,0.899283821334654,"GM","Sticky",75.892320760306
"3660",87,9,29.9236930994718,0.0468954672187287,NA,NA,NA,NA,NA,NA,NA,0.222297047316207,0.964024363633591,"GM","Sticky",75.892320760306
"3661",87,2,24.3862681681042,0.0457359829705765,NA,NA,NA,NA,1,NA,NA,0.0758565624333412,0.970681709873406,"GM","dNN",75.892320760306
"3662",87,3,17.0788695494796,0.0474544282910534,NA,NA,NA,NA,1,NA,NA,0.0955684926611632,0.979466999664147,"GM","dNN",75.892320760306
"3663",87,4,22.7325902856625,0.0468963872183937,NA,NA,NA,NA,1,NA,NA,0.0975279636358278,0.972669837273595,"GM","dNN",75.892320760306
"3664",87,5,24.6548931393134,0.0458367494460519,NA,NA,NA,NA,1,NA,NA,0.0869789810579683,0.970358756611888,"GM","dNN",75.892320760306
"3665",87,6,77.6004056916497,0.0452318465842305,NA,NA,NA,NA,1,NA,NA,0.093268068433102,0.906705232948071,"GM","dNN",75.892320760306
"3666",87,7,17.5912220308091,0.0465370897063765,NA,NA,NA,NA,1,NA,NA,0.0972717958454791,0.978851026010813,"GM","dNN",75.892320760306
"3667",87,8,81.1775949999396,0.0363929814876032,NA,NA,NA,NA,1,NA,NA,0.0628053868989553,0.902404571885245,"GM","dNN",75.892320760306
"3668",87,9,9.75832437802074,0.0464401915249217,NA,NA,NA,NA,1,NA,NA,0.0931761771650701,0.988268094843703,"GM","dNN",75.892320760306
"3669",87,1,25.2126769339059,0.0465479760003074,NA,NA,NA,NA,NA,1,NA,0.0813801332587915,0.969688163349932,"GM","kNN",75.892320760306
"3670",87,2,24.386304421033,0.0457360009657542,NA,NA,NA,NA,NA,1,NA,0.0758564067538406,0.970681666288473,"GM","kNN",75.892320760306
"3671",87,3,17.078859882842,0.0474544247495117,NA,NA,NA,NA,NA,1,NA,0.0955680151698283,0.979467011285822,"GM","kNN",75.892320760306
"3672",87,4,22.7325900839059,0.0468963604196721,NA,NA,NA,NA,NA,1,NA,0.0975279165466264,0.972669837516156,"GM","kNN",75.892320760306
"3673",87,5,24.6548918821054,0.0458367361299771,NA,NA,NA,NA,NA,1,NA,0.0869789753377182,0.970358758123361,"GM","kNN",75.892320760306
"3674",87,6,77.6004134289011,0.0452317776594233,NA,NA,NA,NA,NA,1,NA,0.093267929288046,0.906705223645993,"GM","kNN",75.892320760306
"3675",87,7,17.5912662457822,0.0465371718482104,NA,NA,NA,NA,NA,1,NA,0.0972725533893102,0.978850972853544,"GM","kNN",75.892320760306
"3676",87,8,81.1776066089992,0.0363929707241676,NA,NA,NA,NA,NA,1,NA,0.0628053447726073,0.902404557928301,"GM","kNN",75.892320760306
"3677",87,1,27.4067406346774,0.0638949041873464,0.00674627494466239,NA,NA,1.86750653551292,NA,NA,NA,0.141426712445395,0.967050359332851,"UCB","DF",75.892320760306
"3678",87,2,25.8759412630918,0.0624747549009444,0.00674474754565099,NA,NA,1.66665413780776,NA,NA,NA,0.131697977459268,0.96889075655117,"UCB","DF",75.892320760306
"3679",87,3,23.3287582621211,0.0607789406639647,0.00674480833715556,NA,NA,1.49749139378059,NA,NA,NA,0.145088902251964,0.971953096787617,"UCB","DF",75.892320760306
"3680",87,4,28.3784028609661,0.0605395593704869,0.00675244777165014,NA,NA,1.4405903334655,NA,NA,NA,0.145766143583098,0.965882182436779,"UCB","DF",75.892320760306
"3681",87,5,26.3312296100956,0.0605834101068526,0.00673935291252863,NA,NA,1.46726482108564,NA,NA,NA,0.135266472787331,0.968343388017505,"UCB","DF",75.892320760306
"3682",87,6,89.6320750214745,0.0629108489967243,0.00675476784830618,NA,NA,2.48973939136629,NA,NA,NA,0.169788007600105,0.892240208218276,"UCB","DF",75.892320760306
"3683",87,7,21.2868833710172,0.0611962193014256,0.00674606811206765,NA,NA,1.47546501682148,NA,NA,NA,0.149254054606114,0.97440793243721,"UCB","DF",75.892320760306
"3684",87,8,76.3948951936641,0.0507024749433763,0.00674969830837183,NA,NA,1.55510716052508,NA,NA,NA,0.1073786719012,0.908154552962391,"UCB","DF",75.892320760306
"3685",87,9,13.3651292431296,0.0596962573551239,0.00674713106384667,NA,NA,1.56553142198881,NA,NA,NA,0.139421411586808,0.983931828600081,"UCB","DF",75.892320760306
"3686",87,2,29.9236930474276,0.136293171574013,NA,NA,NA,NA,NA,NA,NA,0.646066058734105,0.964024363696161,"GM","Sticky",75.892320760306
"3687",87,1,25.2126855626731,0.0465479489170812,NA,NA,NA,NA,1,NA,NA,0.0813799686778096,0.969688152976032,"GM","dNN",75.892320760306
"3688",87,7,25.7324574097455,0.00865568099991866,0.00704876440836396,NA,7.35908646827764,NA,NA,NA,NA,0.00681295616609949,0.969063259420895,"UCB","BMT",75.892320760306
"3689",87,1,34.5804426489305,27.9429439188327,NA,NA,NA,NA,NA,NA,NA,133.06915865058,0.958425805732202,"GM","Sticky",75.892320760306
"3690",87,9,9.75831889204982,0.046440197218671,NA,NA,NA,NA,NA,1,NA,0.0931760006766734,0.988268101439189,"GM","kNN",75.892320760306
"3691",88,1,64.6916482960567,0.114002386888503,0.227453560649797,NA,NA,0.0184246641526707,NA,NA,NA,0.431224392775204,0.922224733180288,"UCB","DF",65.2787524613938
"3692",88,3,92.0757419153814,0.146534740962041,0.00673798561880404,NA,NA,1.15015503037289,NA,NA,NA,0.387193405965082,0.889302319793756,"UCB","DF",65.2787524613938
"3693",88,4,60.4041343273395,0.121086579928531,0.198839817819019,NA,NA,0.0183275562937181,NA,NA,NA,0.447025588991095,0.92737937913063,"UCB","DF",65.2787524613938
"3694",88,5,90.307338010426,0.119668005023094,0.206754018740375,NA,NA,0.018415152084079,NA,NA,NA,0.435126057323927,0.891428376080396,"UCB","DF",65.2787524613938
